page,resource_type,author,url,sugya_id,title
7b,video,NotebookLM,https://youtu.be/KP9WjeVk7uk,47,Temurah 7b: Overlapping Penalties
7b,video,NotebookLM,https://youtu.be/8Hlge2B17Hs,49,Temurah 7b: Sacred Property Rights
8a,video,NotebookLM,https://youtu.be/GnPIgefrCjU,50,Temurah 8a: Firstborn Property Rights
8a,video,NotebookLM,https://youtu.be/25gGrNzxLmE,51,Temurah 8a: The Mixed-Up Babies Test
8a,video,NotebookLM,https://youtu.be/SM_WSGV7TW0,52,Temurah 8a: How Parental Uncertainty Defeats Priestly Claims
8a,video,NotebookLM,https://youtu.be/JcmvDSQipU8,53,Temurah 8a: The Property of Heaven
8a,video,NotebookLM,https://youtu.be/vmgMDbtm6zk,54,Temurah 8a-b: Property & Sacrifices
8a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2012/1109/772810.MP3?redirect=download.yutorah.org,,
8b,video,NotebookLM,https://youtu.be/vmgMDbtm6zk,54,Temurah 8a-b: Property & Sacrifices
8b,video,NotebookLM,https://youtu.be/JN8EXhiyJPA,55,Temurah 8b: Territorial Limits on Priestly Ownership
8b,video,NotebookLM,https://youtu.be/6fg3qjdBFxo,56,Temurah 8b: Acquisition Paradox
8b,video,NotebookLM,https://youtu.be/Q3FqJmC8U7Y,57,Temurah 8b: Firstborn Animal Sales
8b,video,NotebookLM,https://youtu.be/d_h7RfLWZ1E,58,Temurah 8b: The Price of Purity: Fair Market Value & The Optics of Corruption
8b,video,NotebookLM,https://youtu.be/_WdqwTILH8s,59,Temurah 8b: Priestly Gift Economics
9a,video,NotebookLM,https://youtu.be/mD2lqNMC7Cc,60,Temurah 9a: Sacred Substitution Rules
9a,video,NotebookLM,https://youtu.be/qG-oxAe2ozk,61,Temurah 9a: The Grammar of Justice
9a,video,NotebookLM,https://youtu.be/w4OYiqJKfiE,62,Temurah 9a: Closing the Sacred Substitution Loophole
9a,video,NotebookLM,https://youtu.be/Py-I1Ze6u1g,63,Temurah 9a: How Possessory Consecration Works
9a,video,NotebookLM,https://youtu.be/kj3x75-7YpQ,64,Temurah 9a: The Math of Sacred Substitution
9a,video,NotebookLM,https://youtu.be/eWGOBkG3c3Y,65,Temurah 9a: Linguistics of Substitution
9a,video,NotebookLM,https://youtu.be/WJ2d_sHe-Iw,66,Temurah 9a: How Consecutive Substitution Works
9a,video,NotebookLM,https://youtu.be/3h0mUdd7iaQ,67,Temurah 9a-b: The Logic Stress-Test
9a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929175.MP3?redirect=download.yutorah.org,,
9b,video,NotebookLM,https://youtu.be/3h0mUdd7iaQ,67,Temurah 9a-b: The Logic Stress-Test
9b,video,NotebookLM,https://youtu.be/KVhzlsv_XR8,68,Temurah 9b: Body vs. Sanctity
9b,video,NotebookLM,https://youtu.be/XYph3BSYjhw,69,Temurah 9b: Anatomy of Sanctity
9b,video,NotebookLM,https://youtu.be/nkQsJ79Kd40,70,Temurah 9b-10a: Logic of Consecration
10a,video,NotebookLM,https://youtu.be/nkQsJ79Kd40,70,Temurah 9b-10a: Logic of Consecration
10a,video,NotebookLM,https://youtu.be/lRiA6zhSRSA,71,Temurah 10a: Who Owns a Proxy Sacrifice?
10a,video,NotebookLM,https://youtu.be/g1ICGHheKnI,72,Temurah 10a: Ownership & Atonement
10a,video,NotebookLM,https://youtu.be/pyOITDWD9Fg,73,Temurah 10a: How Partial Animal Consecration Works
10a,video,NotebookLM,https://youtu.be/ca3LeQqjVRA,74,Temurah 10a-b: Derivative vs Independent
10a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929225.MP3?redirect=download.yutorah.org,,
10b,video,NotebookLM,https://youtu.be/ca3LeQqjVRA,74,Temurah 10a-b: Derivative vs Independent
10b,video,NotebookLM,https://youtu.be/2vK0gzyVXww,75,Temurah 10b: How Two Rulings Prove Independent Embryo Status
10b,video,NotebookLM,https://youtu.be/V-jNzOeshak,76,Temurah 10b-11a: Legal Stress Test
11a,video,NotebookLM,https://youtu.be/V-jNzOeshak,76,Temurah 10b-11a: Legal Stress Test
11a,video,NotebookLM,https://youtu.be/fsdk3rAUp4o,77,Temurah 11a: Sacrifice Fetus Timeline
11a,video,NotebookLM,https://youtu.be/BShzs4TCJrA,78,Temurah 11a: How a Disqualified Animal Proves Fetal Sanctity
11a,video,NotebookLM,https://youtu.be/mMCxJnuWMqg,79,Temurah 11a: How the Talmud Resolves Fetal Consecration
11a,video,NotebookLM,https://youtu.be/IQCV4gwklCA,80,Temurah 11a-b: Partial Pledges
11a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929287.MP3?redirect=download.yutorah.org,,
11b,video,NotebookLM,https://youtu.be/IQCV4gwklCA,80,Temurah 11a-b: Partial Pledges
11b,video,NotebookLM,https://youtu.be/ARMa3jBR4Dc,82,Temurah 11b: How Scriptural Definitions Create an Unresolved Dilemma
11b,video,NotebookLM,https://youtu.be/MuAMLcA7aT8,83,Temurah 11b: How Double Logic Extensions Break Legal Systems
11b,video,NotebookLM,https://youtu.be/3TSCCCAz7UQ,84,Temurah 11b: Partial Consecration
11b,video,NotebookLM,https://youtu.be/-2AxBvwVCsE,84,Temurah 11b: Partial Dedication Law
11b,video,NotebookLM,https://youtu.be/lAT1_Yw73n8,85,Temurah 11b-12a: Analytical Case Study
12a,video,NotebookLM,https://youtu.be/lAT1_Yw73n8,85,Temurah 11b-12a: Analytical Case Study
12a,video,NotebookLM,https://youtu.be/eCr7PLxSphM,86,Temurah 12a: Why Unborn Offerings Bypass Temple Slaughter Rules
12a,video,NotebookLM,https://youtu.be/6ZTWTxuVHL8,87,Temurah 12a: Calculating Legal Limits
12a,video,NotebookLM,https://youtu.be/J0Meut3Bvpo,88,Temurah 12a: The Math of Derivative Mixtures
12a,video,NotebookLM,https://youtu.be/TY2ncYmz06Q,89,Temurah 12a: How Ancient Law Judges Mixed Ingredients
12a,video,NotebookLM,https://youtu.be/A5BxY5yONGo,90,Temurah 12a-b: Mechanics of Purity
12a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929370.MP3?redirect=download.yutorah.org,,
12b,video,NotebookLM,https://youtu.be/A5BxY5yONGo,90,Temurah 12a-b: Mechanics of Purity
12b,video,NotebookLM,https://youtu.be/aQFS01MbydQ,91,Temurah 12b: The Elemental Equation of Purification
12b,video,NotebookLM,https://youtu.be/E7KM3_vHdV8,92,Temurah 12b-13a: The Anatomy of a Boundary
13a,video,NotebookLM,https://youtu.be/E7KM3_vHdV8,92,Temurah 12b-13a: The Anatomy of a Boundary
13a,video,NotebookLM,https://youtu.be/fm9CCgzzXHg,93,Temurah 13a: Shared Property & Intent
13a,video,NotebookLM,https://youtu.be/iM3003U7eAk,94,Temurah 13a: How the Repeat Substitution Ban Works
13a,video,NotebookLM,https://youtu.be/mhczIGq4XP0,95,Temurah 13a: How One Word Limits Sacred Substitutions
13a,video,NotebookLM,https://youtu.be/RQtfuSJGSsY,96,Temurah 13a: The Offspring Substitution Debate
13a,video,NotebookLM,https://youtu.be/P7j_k7mq4hA,97,Temurah 13a: How the Law of Substitution Filters Offerings
13a,video,NotebookLM,https://youtu.be/vsoS_VeSKfc,98,Temurah 13a: Linguistic Key to Property Law
13a,video,NotebookLM,https://youtu.be/dmCIIdYk-CY,99,Temurah 13a: How the Animal Tithe Filters Substitution Rules
13a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929456.MP3?redirect=download.yutorah.org,,
13b,video,NotebookLM,https://youtu.be/BCGr_bX1Qq0,100,Temurah 13b: Law of Substitution
13b,video,NotebookLM,https://youtu.be/_Z21-VKVqQE,101,Temurah 13b: Double Substitution Dilemma
14a,video,NotebookLM,https://youtu.be/kRdB1B7ERa8,102,Temurah 14a: Ancient Legal Frameworks
14a,video,NotebookLM,https://youtu.be/bm5fcjYPeio,103,Temurah 14a: Limits of Substitution
14a,video,NotebookLM,https://youtu.be/6BBvykXItIY,105,Temurah 14a: Sacrificial Deadlines
14a,video,NotebookLM,https://youtu.be/BZ38kcJ2b5Q,106,Temurah 14a: Nighttime Sacrifice Paradox
14a,video,NotebookLM,https://youtu.be/noVGL-pmtj8,107,Temurah 14a-b: Preserving Unwritten Law
14a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929539.MP3?redirect=download.yutorah.org,,
14b,video,NotebookLM,https://youtu.be/noVGL-pmtj8,107,Temurah 14a-b: Preserving Unwritten Law
14b,video,NotebookLM,https://youtu.be/plIVQQGUuQA,108,Temurah 14b: How Nighttime Libations Beat the Clock
14b,video,NotebookLM,https://youtu.be/p8aE8FJVG54,109,Temurah 14b: Analyzing Numbers 29:39
14b,video,NotebookLM,https://youtu.be/VjZVpAHt-VQ,110,Temurah 14b-15a: The Forty-Year Anomaly
15a,video,NotebookLM,https://youtu.be/VjZVpAHt-VQ,110,Temurah 14b-15a: The Forty-Year Anomaly
15a,video,NotebookLM,https://youtu.be/fzwuEyRYL3o,111,Temurah 15a: How the Communal Exemption Saves Disqualified Sacrifices
15a,video,NotebookLM,https://youtu.be/5JYoZ3ubKeU,112,Temurah 15a: Redundant Sin Offering
15a,video,NotebookLM,https://youtu.be/gMZ2qEW-Bm0,113,Temurah 15a-b: Perpetual Collective Law
15a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2012/1109/773118.MP3?redirect=download.yutorah.org,,
15b,video,NotebookLM,https://youtu.be/gMZ2qEW-Bm0,113,Temurah 15a-b: Perpetual Collective Law
15b,video,NotebookLM,https://youtu.be/lQGbQxfbliQ,114,Temurah 15b: Moses to Majority Rule
15b,video,NotebookLM,https://youtu.be/71766eGAXt0,115,Temurah 15b-16a: The Aching Heart of the Law
16a,video,NotebookLM,https://youtu.be/71766eGAXt0,115,Temurah 15b-16a: The Aching Heart of the Law
16a,video,NotebookLM,https://youtu.be/yhDuuicx9YM,116,Temurah 16a: The Ban on Heavenly Legal Advice
16a,video,NotebookLM,https://youtu.be/JAzk0BLtxdE,117,Temurah 16a: The War That Saved Joshua
16a,video,NotebookLM,https://youtu.be/OafCwvTdeCA,118,Temurah 16a: The Lost Laws and the Springs of Providence
16a,video,NotebookLM,https://youtu.be/_gLMVCYOZzo,119,Temurah 16a: Two Paths to Wealth
16a,video,NotebookLM,https://youtu.be/CqM3PgQp7_U,120,Temurah 16a-b: Lost Legal Traditions
16a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2012/1109/773167.MP3?redirect=download.yutorah.org,,
16b,video,NotebookLM,https://youtu.be/CqM3PgQp7_U,120,Temurah 16a-b: Lost Legal Traditions
16b,video,NotebookLM,https://youtu.be/5ivcIcRFels,121,Temurah 16b-17a: Mechanics of Sacred Law
17a,video,NotebookLM,https://youtu.be/5ivcIcRFels,121,Temurah 16b-17a: Mechanics of Sacred Law
17a,video,NotebookLM,https://youtu.be/DPS4iQqBD7Q,122,Temurah 17a: Legal Mechanics of Intent
17a,video,NotebookLM,https://youtu.be/SCfJhnaw8eI,123,Temurah 17a: How Physical Disqualifications Block Animal Consecration
17a,video,NotebookLM,https://youtu.be/UFRLHA4LB8U,124,Temurah 17a: Sanctity & Disqualification
17a,video,NotebookLM,https://youtu.be/asI1P-aI0DM,125,Temurah 17a-b: Logic of the Flawed Asset
17a,audio,Menachem Kagan,https://shiurim.yutorah.net/2019/971/929637.MP3?redirect=download.yutorah.org,,
17b,video,NotebookLM,https://youtu.be/asI1P-aI0DM,125,Temurah 17a-b: Logic of the Flawed Asset
17b,video,NotebookLM,https://youtu.be/pHo4ZLsvjfY,126,Temurah 17b: How Sacred Status Inheritance Works for Peace Offerings
17b,video,NotebookLM,https://youtu.be/XvV51iE6zxw,127,Temurah 17b: Ripple Effect of Sanctity
17b,video,NotebookLM,https://youtu.be/cCjbn1A-OW0,128,Temurah 17b: Offspring & Substitutes
17b,video,NotebookLM,https://youtu.be/7A9KbxxwygU,129,Temurah 17b: Blemished Offspring
17b,video,NotebookLM,https://youtu.be/M-vmSfcEPFc,130,Temurah 17b: Ancient Legal Logic
17b,video,NotebookLM,https://youtu.be/SaOwtajbI_E,131,Temurah 17b: Why Peace Offering Offspring Go To The Altar
17b,video,NotebookLM,https://youtu.be/vmN6XU75VB0,132,Temurah 17b-18a: The Law of Economy
18a,video,NotebookLM,https://youtu.be/vmN6XU75VB0,132,Temurah 17b-18a: The Law of Economy
18a,video,NotebookLM,https://youtu.be/6mAVxTv1qok,133,Temurah 18a: Status Preservation Law
18a,video,NotebookLM,https://youtu.be/xulA-AqQg8I,134,Temurah 18a: The Redundancy Debate
18a,video,NotebookLM,https://youtu.be/JpcWnsO-gS8,135,Temurah 18a: Inherited Sanctity
18a,video,NotebookLM,https://youtu.be/WdM3N0dThF4,136,Temurah 18a: The Inheritance of Greed: Closing the Temple Loophole
18a,video,NotebookLM,https://youtu.be/DJU4DSEcPoA,137,Temurah 18a: 2nd Generation Dilemma
18a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2012/1109/773194.MP3?redirect=download.yutorah.org,,
18b,video,NotebookLM,https://youtu.be/It55T8eW6gQ,138,Temurah 18b: Lineage and Limits in Law
18b,video,NotebookLM,https://youtu.be/7MChxeel9H4,139,Temurah 18b: The Delayed Offerings Dilemma
18b,video,NotebookLM,https://youtu.be/huh572uLmfM,140,Temurah 18b: How Thanks Offerings Transfer Sacred Status
18b,video,NotebookLM,https://youtu.be/MHw8qdNjoLQ,141,Temurah 18b: Leviticus 7:12 Analysis
18b,video,NotebookLM,https://youtu.be/f8dCkc6RnsA,142,Temurah 18b: Rules of the Burnt Offering Substitute
18b,video,NotebookLM,https://youtu.be/Z40ksW03qbw,143,Temurah 18b-19a: Sanctity & Offspring
19a,video,NotebookLM,https://youtu.be/Z40ksW03qbw,143,Temurah 18b-19a: Sanctity & Offspring
19a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2012/1109/773250.MP3?redirect=download.yutorah.org,,
19b,video,NotebookLM,https://youtu.be/mlZRAWwkDzo,144,Temurah 19b: Isolating the True Variable
19b,video,NotebookLM,https://youtu.be/NTEhtKCvRl4,145,Temurah 19b: Guilt Offering Paradox
19b,video,NotebookLM,https://youtu.be/2ZY54p2Go8s,146,Temurah 19b: Unusable Asset Paradox
19b,video,NotebookLM,https://youtu.be/hJWIeYqC3S4,147,Temurah 19b: Logic of the Altar
19b,video,NotebookLM,https://youtu.be/x_MfnEogq_U,148,Temurah 19b-20a: The Dialectic of Latent Holiness
20a,video,NotebookLM,https://youtu.be/x_MfnEogq_U,148,Temurah 19b-20a: The Dialectic of Latent Holiness
20a,video,NotebookLM,https://youtu.be/kB8TsyxA4rY,149,Temurah 20a: Logic of Substitution
20a,video,NotebookLM,https://youtu.be/_jiQH0k-fdY,150,"Temurah 20a-b: Property, Intent, Utility"
20a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2012/1109/773280.MP3?redirect=download.yutorah.org,,
20b,video,NotebookLM,https://youtu.be/_jiQH0k-fdY,150,"Temurah 20a-b: Property, Intent, Utility"
20b,video,NotebookLM,https://youtu.be/UBnNO2qlrgw,151,Temurah 20b: Guilt Offerings & Substitutes
20b,video,NotebookLM,https://youtu.be/wAz7w9pGvi0,152,Temurah 20b: The Dual-Case Necessity
20b,video,NotebookLM,https://youtu.be/vEtr5UtqbLk,153,Temurah 20b: Transgression & Substitutes
20b,video,NotebookLM,https://youtu.be/dLkdRN3J704,154,Temurah 20b-21a: The Legal Stress-Test
21a,video,NotebookLM,https://youtu.be/dLkdRN3J704,154,Temurah 20b-21a: The Legal Stress-Test
21a,video,NotebookLM,https://youtu.be/aC06mbbDdQg,155,Temurah 21a: Sacred Economics
21a,video,NotebookLM,https://youtu.be/un3dLQ0qKhc,156,Temurah 21a: Status vs. Function
21a,video,NotebookLM,https://youtu.be/FzJrbT4G9nA,157,Temurah 21a: The Altar Exclusion Loophole
21a,video,NotebookLM,https://youtu.be/yulLQV8MoLo,158,"Temurah 21a-b: The Gates of Exile: Firstborns, Tithes, and the Ruined Altar"
21a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/929927.MP3?redirect=download.yutorah.org,,
21b,video,NotebookLM,https://youtu.be/yulLQV8MoLo,158,"Temurah 21a-b: The Gates of Exile: Firstborns, Tithes, and the Ruined Altar"
21b,video,NotebookLM,https://youtu.be/YUhgZNeOHXE,159,Temurah 21b: Geographic Boundaries
21b,video,NotebookLM,https://youtu.be/Hp1ZixTjxSg,160,Temurah 21b: Sacred Boundaries
21b,video,NotebookLM,https://youtu.be/k-8AwLanD0A,161,Temurah 21b: Firstborn Time Limits
21b,video,NotebookLM,https://youtu.be/MjNGwvo4Ezg,162,Temurah 21b-22a: Conditional Atonement
22a,video,NotebookLM,https://youtu.be/MjNGwvo4Ezg,162,Temurah 21b-22a: Conditional Atonement
22a,video,NotebookLM,https://youtu.be/LMBvj00bncM,163,Temurah 22a: Why The Law Separates Five Sin Offerings
22a,video,NotebookLM,https://youtu.be/DeBqLV8OYlc,164,Temurah 22a: The Trial of the Double Disqualification
22a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2012/1109/773358.MP3?redirect=download.yutorah.org,,
22b,video,NotebookLM,https://youtu.be/PFDVXAJDLmo,165,Temurah 22b: The Deductive Proof
22b,video,NotebookLM,https://youtu.be/wgZoI1yZq2Y,166,Temurah 22b: What Defines a Lost Offering
22b,video,NotebookLM,https://youtu.be/BX-JllRDWxY,167,Temurah 22b: When Is a Sacred Offering Truly Lost?
22b,video,NotebookLM,https://youtu.be/TtL_D3dTSJk,168,Temurah 22b: The Point of No Return
22b,video,NotebookLM,https://youtu.be/J4SRwr9J-Nc,169,Temurah 22b: The Legal Matrix
22b,video,NotebookLM,https://youtu.be/afNGu-1sXmk,170,Temurah 22b-23a: Ancient Legal Contradictions
23a,video,NotebookLM,https://youtu.be/afNGu-1sXmk,170,Temurah 22b-23a: Ancient Legal Contradictions
23a,video,NotebookLM,https://youtu.be/jPYJttHjvhA,171,Temurah 23a-b: Lost & Found Offerings
23a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2012/1109/773367.MP3?redirect=download.yutorah.org,,
23b,video,NotebookLM,https://youtu.be/jPYJttHjvhA,171,Temurah 23a-b: Lost & Found Offerings
23b,video,NotebookLM,https://youtu.be/mQjBoMC8lQs,172,Temurah 23b: The Legal Stress Test
23b,video,NotebookLM,https://youtu.be/pimWTKixNSo,173,Temurah 23b: Financial Guarantees
24a,video,NotebookLM,https://youtu.be/Zel3ovKK1gU,174,Temurah 24a: Ancient Backup Plans
24a,video,NotebookLM,https://youtu.be/bNQ8m_M9Omo,175,Temurah 24a: The A Fortiori Logic Proof
24a,video,NotebookLM,https://youtu.be/LzhIElI3Xrs,176,"Temurah 24a: The Forbidden Cut: Economics, Aesthetics, and Moral Hazard"
24a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/930058.MP3?redirect=download.yutorah.org,,
24b,video,NotebookLM,https://youtu.be/IEFXFbfwwZE,177,Temurah 24b: The Logic of Sacred Property
24b,video,NotebookLM,https://youtu.be/FcEE-YG60nU,178,Temurah 24b: Ancient Risk Management
24b,video,NotebookLM,https://youtu.be/_hdA8GCsX3k,179,Temurah 24b: How Legal Artifice Rescues an Unborn Offering
24b,video,NotebookLM,https://youtu.be/2Tsvbnrmxhs,180,Temurah 24b: The Double-Male Offspring Loophole
24b,video,NotebookLM,https://youtu.be/I433kHnC8FU,181,Temurah 24b-25a: Consecration Timeline
25a,video,NotebookLM,https://youtu.be/I433kHnC8FU,181,Temurah 24b-25a: Consecration Timeline
25a,video,NotebookLM,https://youtu.be/PSwFmIq58mA,182,Temurah 25a: The Hierarchy of Decrees
25a,video,NotebookLM,https://youtu.be/ZCDXN9TxRmg,183,Temurah 25a: Linear Speech & Legal Intent
25a,video,NotebookLM,https://youtu.be/T66gdmRC3A4,184,Temurah 25a-b: Anatomy of Agency
25a,audio,Rabbi Aryeh Lebowitz,https://shiurim.yutorah.net/2019/1109/930147.MP3?redirect=download.yutorah.org,,
25b,video,NotebookLM,https://youtu.be/T66gdmRC3A4,184,Temurah 25a-b: Anatomy of Agency
25b,video,NotebookLM,https://youtu.be/Xl9N5Kl5eBk,185,Temurah 25b: Fetal Independence Debate
25b,video,NotebookLM,https://youtu.be/_i_MTOwdLjk,186,Temurah 25b: The Pregnant Sacrifice
25b,video,NotebookLM,https://youtu.be/QLOfn2yOHeM,187,Temurah 25b: Milliseconds of Intent
25b,video,NotebookLM,https://youtu.be/J7fi6E10H5w,188,Temurah 25b: How Consecutive Substitute Designation Works
